id,term,positive_score,nagative_score
541,고구려,0.00709,0.00393
542,고구마,0.00362,0.00825
543,고국원,0.00106,0
544,고군,0.00309,0.00314
545,고금,0.00053,0
546,고급,0.01063,0.00589
547,고기,0.01251,0.00903
548,고난,0.00407,0.00196
549,고냥,0.00068,0
550,고뇌,0.00867,0.0055
551,고다,0.00083,0.00039
552,고달프다,0.00121,0.00118
553,고대,0.00935,0.00511
554,고도,0.00249,0.00236
555,고독,0.01146,0.00942
556,고등,0.02013,0.01689
557,고딩,0.00098,0.00039
558,고래,0.00807,0.00353
559,고레에다,0.0009,0.00079
560,고려,0.00724,0.01532
561,고령,0.00196,0.00157
562,고로,0.00128,0.00393
563,고루,0.00158,0.00157
564,고르다,0.0297,0.02867
565,고리,0.00407,0.00471
566,고릴라,0.00377,0.00079
567,고립,0.0009,0.00157
568,고마움,0.00219,0.00118
569,고만,0.00038,0.00079
570,고맙다,0.06249,0.01178
571,고모,0.0009,0.00039
572,고무,0.00166,0.00353
573,고문,0.00113,0.00432
574,고미숙,0.00279,0.00236
575,고민,0.13364,0.08522
576,고발,0.00271,0.00432
577,고백,0.0104,0.00707
578,고부,0.00045,0.00039
579,고블린,0.00219,0.00196
580,고비,0.00173,0.00118
581,고사,0.01281,0.0055
582,고생,0.01327,0.01885
583,고서,0.00264,0.0055
584,고소,0.00083,0.00118
585,고속,0.00053,0
586,고수,0.00384,0.00471
587,고스란히,0.01281,0.00511
588,고슴도치,0.00083,0.00314
589,고시,0.00204,0.00196
590,고심,0.00196,0.00039
591,고아,0.00098,0
592,고양,0.00068,0.00079
593,고양이,0.04507,0.02435
594,고어,0.0006,0.00039
595,고요,0.00776,0.00511
596,고용,0.00106,0.00275
597,고위,0.0006,0.00118
598,고유,0.00241,0.00471
599,고은,0.00053,0.00118
600,고의,0.00083,0.00196
601,고이다,0.00264,0.00236
602,고인,0.00452,0.00079
603,고작,0.00271,0.00275
604,고장,0.00038,0.00157
605,고장나다,0.00038,0.00393
606,고전,0.0652,0.04791
607,고정,0.00671,0.00393
608,고조,0.00166,0.00118
609,고종훈,0.00053,0
610,고증,0.00219,0.00314
611,고지,0.00083,0.00039
612,고집,0.00271,0.00236
613,고착,0.00045,0.00157
614,고찰,0.00972,0.00982
615,고책,0.00204,0.00668
616,고추,0.00045,0.00079
617,고충,0.00173,0.00196
618,고취,0.00045,0.00079
619,고치다,0.01176,0.01217
620,고퀄,0.00113,0
621,고타,0.0009,0.00079
622,고타로,0.0009,0.00236
623,고통,0.03362,0.02003
624,고프다,0.00166,0.00118
625,고함,0.00053,0.00079
626,고해,0.00045,0.00039
627,고향,0.00445,0.00118
628,고흐,0.00377,0.00079
629,곡선,0.00045,0.00039
630,곡절,0.00068,0
631,곤도,0.00045,0.00039
632,곤란,0.00241,0.00471
633,곤이,0.0009,0.00118
634,곤충,0.00467,0.00157
635,곤혹,0.0003,0.00118
636,곧다,0.00075,0
637,곧바로,0.00188,0.00157
638,곧잘,0.00083,0.00039
639,곧장,0.00106,0.00039
640,골격,0.0006,0.00079
641,골고루,0.00143,0.00275
642,골동,0.00053,0
643,골드,0.0009,0
644,골든,0.00128,0.00118
645,골든벨,0.00181,0.00039
646,골리앗,0.00083,0.00118
647,골목,0.00354,0.00236
648,골치,0.00204,0.00039
649,골프,0.00445,0.00079
650,곪다,0.00053,0.00039
651,곰곰,0.00083,0
652,곰곰이,0.0009,0.00039
653,곰곰히,0.00181,0.00079
654,곱다,0.0098,0.00589
655,곱씹다,0.01447,0.01021
656,공각,0.00053,0
657,공간,0.02638,0.01924
658,공감,0.16809,0.20538
659,공개,0.00822,0.00785
660,공격,0.00332,0.00432
661,공공,0.00188,0.00157
662,공과,0.00113,0
663,공권,0.00045,0.00039
664,공급,0.0009,0.00275
665,공기,0.00392,0.00393
666,공단,0.0009,0.00196
667,공대,0.00271,0.00196
668,공동,0.00935,0.01217
669,공들이다,0.00347,0.00157
670,공략,0.00219,0.00275
671,공력,0.00045,0.00039
672,공론,0.00015,0.00196
673,공룡,0.01372,0.00903
674,공명,0.00151,0.00079
675,공모,0.00166,0.00157
676,공무,0.00648,0.00236
677,공방,0.00075,0.00118
678,공백,0.0009,0.00157
679,공복,0.00053,0
680,공부,0.29924,0.17043
681,공사,0.00166,0.00079
682,공산,0.00309,0.00903
683,공산당,0.00113,0.00039
684,공상,0.00188,0.00393
685,공생,0.00143,0
686,공수,0.00106,0.00079
687,공시,0.00151,0.00196
688,공식,0.0101,0.00825
689,공신,0.00075,0.00079
690,공연,0.00173,0.00079
691,공예,0.00045,0.00039
692,공원,0.00249,0
693,공유,0.011,0.0055
694,공의,0.00083,0.00079
695,공인,0.00098,0.00157
696,공자,0.00302,0.00471
697,공작,0.00226,0.00157
698,공장,0.00362,0.00353
699,공저,0.0003,0.00157
700,공정,0.00437,0.0055
701,공존,0.00611,0.00314
702,공주,0.01357,0.00707
703,공중,0.00121,0.00157
704,공지,0.00271,0.00864
705,공지영,0.00671,0.00236
706,공직,0.00045,0.00157
707,공짜,0.00136,0.00275
708,공채,0.00113,0
709,공책,0.00121,0
710,공통,0.0052,0.00471
711,공평,0.00196,0.00236
712,공포,0.0199,0.01649
713,공포물,0.00045,0.00118
714,공학,0.00663,0.00589
715,공항,0.00045,0.00079
716,공허,0.00249,0.00314
717,공화,0.00181,0.00157
718,공황,0.00121,0.00039
719,과감히,0.00151,0.00079
720,과거,0.04545,0.04359
721,과다,0.00068,0.00079
722,과대,0.0009,0.01532
723,과도,0.00279,0.01217
724,과목,0.00528,0.0055
725,과묵,0.00053,0
726,과소,0.00083,0
727,과시,0.00068,0.00393
728,과실,0.00045,0.00079
729,과언,0.00241,0
730,과업,0.00053,0
731,과연,0.04711,0.04673
732,과오,0.00045,0.00039
733,과외,0.0006,0.00039
734,과유불급,0.00023,0.00236
735,과일,0.00188,0.00157
736,과잉,0.00347,0.00825
737,과자,0.00256,0.00157
738,과장,0.00603,0.01532
739,과정,0.06829,0.06008
740,과제,0.0049,0.00079
741,과하다,0.0046,0.01571
742,과학,0.13696,0.10839
743,과히,0.00038,0.00079
744,곽정은,0.00083,0.00118
745,관객,0.00053,0.00118
746,관건,0.00151,0.00118
747,관계,0.0747,0.05498
748,관계없다,0.00023,0.00157
749,관계없이,0.00075,0.00039
750,관광,0.00354,0.00353
751,관내,0.00083,0.00039
752,관념,0.01048,0.00825
753,관능,0.00053,0.00079
754,관두다,0.00045,0.00079
755,관람,0.00151,0.00039
756,관련,0.0609,0.07736
757,관료,0.00068,0.00039
758,관리,0.01817,0.01689
759,관상,0.00143,0.00079
760,관성,0.00106,0.0055
761,관습,0.00113,0.00118
762,관심,0.14834,0.07854
763,관심없다,0.00226,0.00353
764,관악,0.00181,0.00785
765,관여,0.00053,0.00157
766,관용,0.00075,0.00039
767,관음,0.00045,0.00157
768,관장,0.00113,0.00079
769,관절,0.00106,0.00039
770,관점,0.04138,0.04202
771,관조,0.00113,0.00039
772,관찰,0.01116,0.00864
773,관통,0.00626,0.00903
774,관하다,0.06844,0.0699
775,관행,0.0006,0
776,괄호,0.00053,0.00157
777,광개토,0.00151,0.00039
778,광개토대왕,0.00264,0.00236
779,광고,0.01048,0.04909
780,광기,0.00467,0.00118
781,광대,0.00083,0.00039
782,광복,0.00098,0.00039
783,광수,0.00136,0.00118
784,광신,0.00053,0.00079
785,광우,0.00045,0.00039
786,광인,0.0006,0.00039
787,광장,0.00113,0.00118
788,광주,0.00286,0.00196
789,광풍,0.00053,0.00079
790,광해,0.00045,0.00079
791,광해군,0.00128,0
792,광화,0.00075,0
793,괜시리,0.00106,0
794,괜찮다,0.10869,0.13862
795,괜하다,0.00158,0.00236
796,괜히,0.00995,0.02199
797,괴기,0.0006,0.00196
798,괴다,0.00234,0.00393
799,괴담,0.00173,0.00196
